cust_id	cust_sex	age	visit_cnt	tot_spd	spd_per_visit	promo_share	morning	midday	evening	weekend	weekday	wz_spend_share
200100009390407 	2	29	37	3746.75	101.2634871	0.220125791	0.031699018	0.052031215	0.916002862	0.36870121	0.631031898	0
200100007468362 	1	26	5	970.19	194.0380249	0.135463443	0	0	0.998970335	0	0.998970335	0
200100006447692 	2	44	18	2762.3	153.4611681	0.513875618	0.07100206	0.72692066	0.201715328	0.045923348	0.953714713	0
200100005325309 	2	65	13	910.2	70.01539964	0	0.018327482	0.391681347	0.588893771	0.038520633	0.960381939	0.312701338
200100006515573 	1	42	34	4714.9	138.6734547	0.345415775	0	0.124345308	0.87544267	0.393244088	0.60654376	0
200100010110762 		65	5	1107.05	221.4099854	0.318077789	0	0.465276857	0.533820711	0.532015738	0.46708183	0
200100003934448 	1	65	4	173.9	43.47499847	0	0.056603773	0	0.937678619	0	0.99428236	0
200100009266612 	2	58	20	801.66	40.08300781	0.450137231	0.295891127	0.589988254	0.112874686	0.617023298	0.381730692	0
200100008880338 	2	29	5	1228	245.6	0.998628258	0	0.036371031	0.962815337	0.036371031	0.962815337	0
200100008983862 	1	33	4	319.3	79.82499695	0	0	0.454261647	0.54261628	0.79612866	0.200749315	0
200100002054241 	2	27	14	2053.73	146.6950335	0.393239896	0.055189731	0.103273902	0.841049686	0.930891163	0.068622155	0
200100002404808 	2	34	13	3108.75	239.1346717	0.284069823	0	0	0.999678431	0.585754504	0.413923966	0
200100009318454 	2	65	2	217.2	108.5999985	0	0	0	0.995417049	0	0.995417049	0
200100009468448 	1	65	14	1660.7	118.6214774	0.08888889	0	0.554913604	0.44448453	0.560991701	0.438406432	0
200100009427326 	1	52	5	410.7	82.14000244	0	0	0.69128003	0.306291017	0.169540943	0.828030067	0
200100007578412 	1	34	22	4396.59	199.8448819	0.400227484	0.073881369	0.356831772	0.569059427	0.47576054	0.524012007	0
200100009603680 	2	65	17	2101.5	123.6177045	0.258741259	0	0.348680131	0.650844187	0.148822827	0.850701592	0
200100008003360 	2	49	5	260.35	52.06999512	0.420289841	0.017792233	0.684140038	0.294241408	0.701932247	0.294241408	0
200100009112121 	1	58	46	2067.85	44.95325769	0.441469496	0.377122549	0.575324433	0.047069625	0.516339962	0.483176619	0
200100006676785 	1	30	1	635.3	635.3000488	0.192678231	0	0	0.998428414	0	0.998428414	0
200100009367697 	2	65	8	934.5	116.8124924	0.043243244	0	0.303901696	0.695029454	0.010582576	0.988348515	0
200100009330336 	2	65	7	2162.6	308.9430106	0.924778761	0	0.411721199	0.587816664	0.421196177	0.578341658	0
200100010246587 		65	2	169	84.5	0	0	0.994117647	0	0.994117647	0	0
200100003908771 	1	33	18	2868.35	159.3527832	0.197699488	0.103856279	0.05328733	0.842507911	0.505933408	0.493718123	0
200100007782885 	2	31	11	1941.9	176.5364102	0.497879101	0.108806426	0.333470615	0.557208312	0.432086047	0.56739929	0
200100009343267 	2	26	5	197.9	39.57999878	0	0	0.876319734	0.118652586	0.285570641	0.709401707	0
200100008044751 	2	24	11	2143.6	194.8727362	0	0	0.296185733	0.703347923	0.419472132	0.580061524	0
200100002148592 	1	48	3	452.6	150.8666585	0.202231529	0.343915339	0.653880075	0	0	0.997795482	0
200100007442766 	1	25	10	942.7	94.27000122	0.189189189	0.098018424	0.567341261	0.333580527	0.133516989	0.865423159	0
200100008203548 	2	29	75	10772.1	143.6285677	0.395420788	0.34402134	0.031926624	0.623959237	0.1318093	0.868097876	0.506406704
200100009509704 	2	65	27	2651.89	98.21813513	0.155104218	0.033133685	0.349607422	0.616882056	0.338675968	0.660947222	0.066712519
200100008503264 	2	34	3	270.4	90.1333313	0.127272725	0	0.18828299	0.808032454	0.996315402	0	0
200100008438915 	1	35	4	2069.7	517.4249878	0	0	0.999517072	0	0.022504471	0.977012616	0
200100006745005 	2	31	4	311.5	77.875	0	0	0	0.9968	0	0.9968	0
200100008501635 	2	32	3	821.03	273.6766764	0.1265483	0	0	0.9987835	0	0.9987835	0
200100010150462 		65	2	507.7	253.8499756	0.091575094	0.383330071	0	0.614704134	0.383330071	0.614704134	0
200100008876467 	1	29	4	562.9	140.7249908	0	0	0	0.998226636	0	0.998226636	0
200100003924009 	1	26	9	1484.3	164.9222548	1	0	0.481249595	0.518077182	0.084696695	0.914630086	0
200100001391286 	1	56	13	2052.1	157.8538724	0.286538454	0.07500852	0.436510628	0.487993754	0.356144356	0.643368546	0
200100003959559 	2	45	30	2686.32	89.54401042	0.30921619	0.414598971	0.188872196	0.396156828	0.385499319	0.614128563	0
200100006397124 	1	38	7	1690.8	241.5429339	0	0	0.874334974	0.125073886	0.167986762	0.831422115	0
200100007915504 	2	22	3	616.16	205.386617	0	0.405891496	0.260062232	0.332425972	0.405891496	0.592488203	0
200100009475269 	2	65	6	387.7	64.61665853	0	0	0.119115003	0.878312358	0.58914328	0.408284042	0
